nama_makanan    , kalori_kkal, lemak_g, karbohidrat_g, protein_g, gula_g, estimasi_indeks_glikemik, estimasi_glycemic_load
ampyang         ,       432.0,   22.3 ,         53.36,     10.63,  45.08,                       70,                  37.35
arem-arem       ,       186.0,    8.25,         21.33,      6.96,   2.02,                       70,                  14.93
arum manis      ,        10.0,    0.01,          2.64,      2.0 ,   2.64,                       70,                   1.85
bakpao          ,       130.0,    3.45,         19.79,      6.3 ,   2.17,                       70,                  13.85
bakwan          ,       137.0,   11.59,          6.74,      1.99,   1.05,                       70,                   4.72
biji salak      ,       199.0,    6.19,         36.06,      1.3 ,  15.6 ,                       70,                  25.24
bika ambon      ,       185.0,    3.11,         37.34,      2.18,  19.08,                       70,                  26.14
bolen           ,       130.0,    3.0 ,         28.0 ,      1.3 ,  15.0 ,                       70,                  19.6
bolu gulung     ,       187.0,   36.35,          2.71,      4.6 ,  25.0 ,                       70,                   1.9
bolu karamel    ,       454.0,   29.17,         44.8 ,      4.57,  22.9 ,                       70,                  31.36
bolu kukus      ,       297.0,    4.57,         56.85,      7.01,  32.13,                       70,                  39.8
brem            ,       186.0,    8.25,         21.33,      6.96,   2.02,                       70,                  14.93
bubur mutiara   ,       116.0,    3.01,         21.66,      0.69,   8.31,                       70,                  15.16
bubur sumsum    ,       174.0,    3.57,         33.79,      1.97,  11.12,                       70,                  23.65
cenil           ,       127.0,    2.11,         24.64,      1.39,   7.51,                       70,                  17.25
cilok           ,       266.0,    2.57,         58.17,      2.45,   2.43,                       70,                  40.72
cimol           ,       222.0,    5.22,         41.35,      0.97,   0.05,                       70,                  28.94
cireng          ,        70.0,    4.53,          6.35,      0.94,   0.37,                       70,                   4.44
combro          ,       102.0,    4.36,         12.5 ,      4.26,   1.4 ,                       70,                   8.75
dadar gulung    ,       139.0,    6.79,         17.15,      2.82,   3.48,                       70,                  12.0
dodol           ,        78.0,    1.2 ,         16.29,      0.79,   8.72,                       70,                  11.4
donat           ,       133.0,    8.68,         13.44,      1.4 ,   6.54,                       70,                   9.41
gathot          ,       347.0,    0.48,         83.0 ,      2.38,   2.26,                       70,                  58.1
geplak          ,        46.0,    1.28,          8.25,      0.13,   0.12,                       70,                   5.78
getas           ,       550.0,   30.0 ,         60.0 ,      5.0 ,  20.0 ,                       70,                  42.0
gethuk pisang   ,       142.0,    0.44,         34.12,      1.14,  11.88,                       70,                  23.88
getuk goreng    ,       359.0,    6.68,         74.06,      1.31,  34.96,                       70,                  51.84
getuk lindri    ,        61.0,    1.25,         12.49,      0.14,   5.67,                       70,                   8.74
kembang goyang  ,        51.0,    1.84,          7.73,      0.89,   1.19,                       70,                   5.41
keripik pisang  ,       519.0,   33.6 ,         58.4 ,      2.3 ,  35.34,                       70,                  40.88
keripik singkong,       485.0,   22.24,         71.42,      2.1 ,  13.66,                       70,                  49.99
keripik tempe   ,       534.0,   31.92,         58.41,      5.15,   3.12,                       70,                  40.89
keukarah        ,       400.0,   13.0 ,         65.0 ,      5.0 ,  30.0 ,                       70,                  44.2
klepon          ,       110.0,    2.8 ,         19.75,      1.42,   5.59,                       70,                  13.82
kroket          ,        88.0,    3.25,         11.63,      2.87,   1.01,                       70,                   8.14
kue akar kelapa ,        30.0,    0.05,          6.02,      1.25,   0.28,                       70,                   4.21
kue ape         ,        70.0,    1.11,         13.01,      1.99,   4.67,                       70,                   9.11
kue apem        ,        85.0,    2.04,         16.24,      0.75,   5.43,                       70,                  11.37
kue balok       ,       405.0,   19.0 ,         54.0 ,      4.0 ,  15.0 ,                       70,                  37.8
kue bangkit     ,        43.0,    1.94,          5.9 ,      0.49,   2.4 ,                       70,                   4.13
kue bawang      ,       434.0,   19.18,         60.25,      5.04,   1.38,                       70,                  42.18
kue bingka      ,       272.0,   10.68,         39.32,      5.2 ,   2.82,                       70,                  27.52
kue carabikang  ,       188.0,    2.85,         38.34,      2.13,  11.63,                       70,                  26.84
kue cubit       ,        70.0,    1.11,         13.01,      1.99,   4.67,                       70,                   9.11
kue cucur       ,       102.0,    1.47,         21.58,      1.47,  12.27,                       70,                  15.11
kue gemblong    ,       115.0,    2.43,         22.48,      1.27,   8.87,                       70,                  15.74
kue jipang      ,       365.0,    1.94,         81.43,      5.61,  16.74,                       70,                  57.0
kue kacang      ,        95.0,    5.02,         10.73,      2.18,   5.67,                       70,                   7.51
kue kamir       ,        96.0,    2.27,         15.75,      2.76,   2.82,                       70,                  11.02
kue klemben     ,       112.0,    4.52,         17.18,      1.55,   6.16,                       70,                  12.03
kue lekker      ,        90.0,    1.11,         18.06,      1.59,   3.85,                       70,                  12.64
kue lidah kucing,        18.0,    1.0 ,          2.1 ,      0.2 ,   0.51,                       70,                   1.47
kue lumpang     ,        28.0,    0.89,          4.93,      0.22,   2.31,                       70,                   3.45
kue lumpur      ,       148.0,    8.82,         15.7 ,      2.69,   8.81,                       70,                  10.99
kue lupis       ,       216.0,    4.06,         43.4 ,      1.84,  22.56,                       70,                  30.38
kue manco       ,        72.0,    3.16,         10.18,      0.76,   5.66,                       70,                   7.13
kue mendut      ,        77.0,    0.9 ,         15.98,      1.1 ,   1.98,                       70,                  11.19
kue mochi       ,       112.0,    0.15,         25.24,      1.82,   3.56,                       70,                  17.67
kue padamaran   ,       112.0,    4.52,         17.18,      1.55,   6.16,                       70,                  12.03
kue pancong     ,        74.0,    4.43,          8.32,      0.82,   2.14,                       70,                   5.82
kue pastel      ,       150.0,    6.13,         19.63,      3.8 ,   0.21,                       70,                  13.74
kue pasung      ,       112.0,    4.52,         17.18,      1.55,   6.16,                       70,                  12.03
kue perut ayam  ,       102.0,    1.47,         21.58,      1.47,  12.27,                       70,                  15.11
kue pudak       ,       112.0,    4.52,         17.18,      1.55,   6.16,                       70,                  12.03
kue pukis       ,       117.0,    4.96,         15.73,      2.75,   7.45,                       70,                  11.01
kue putri mandi ,        77.0,    0.9 ,         15.98,      1.1 ,   1.98,                       70,                  11.19
kue putu        ,        26.0,    0.91,          3.78,      0.77,   2.15,                       70,                   2.65
kue putu ayu    ,        26.0,    0.91,          3.78,      0.77,   2.15,                       70,                   2.65
kue rangi       ,       469.0,   42.52,         23.96,      4.17,   7.27,                       70,                  16.77
kue sagon       ,       434.0,   14.59,         74.35,      3.0 ,  40.42,                       70,                  52.04
kue semprong    ,        38.0,    0.11,          9.03,      0.1 ,   5.28,                       70,                   6.32
kue sus         ,       182.0,   10.92,         16.48,      4.58,   5.63,                       70,                  11.54
kue talam       ,        28.0,    0.89,          4.93,      0.22,   2.31,                       70,                   3.45
kue thok        ,       357.0,    2.3 ,         75.79,      6.67,   5.7 ,                       70,                  53.05
kue wajik       ,       304.0,    1.36,         68.43,      3.98,  24.69,                       70,                  47.9
kue yangko      ,       256.0,    1.1 ,         58.04,      3.08,  19.01,                       70,                  40.63
lapis beras     ,       224.0,    0.77,         48.69,      4.64,   1.46,                       70,                  34.08
lapis legit     ,       415.0,   33.65,         25.26,      5.11,  17.43,                       70,                  17.68
lemper          ,       133.0,    5.59,         14.91,      5.98,   0.55,                       70,                  10.44
lumpia          ,        63.0,    2.84,          7.44,      1.99,   0.75,                       70,                   5.21
madu mongso     ,       164.0,    1.06,         34.79,      3.92,  14.98,                       70,                  24.35
martabak manis  ,       270.0,   11.31,         37.37,      7.01,  20.22,                       70,                  26.16
nagasari        ,       154.0,    2.87,         30.25,      2.09,   5.68,                       70,                  21.18
onde-onde       ,       101.0,    1.83,         19.42,      1.51,   3.23,                       70,                  13.59
otak-otak       ,       189.0,    3.98,         28.59,      9.96,   3.15,                       70,                  20.01
panada          ,        75.0,    3.22,          9.12,      2.13,   0.1 ,                       70,                   6.38
pisang goreng   ,        68.0,    3.58,          9.74,      0.4 ,   4.58,                       70,                   6.82
rempeyek        ,        44.0,    1.71,          6.41,      0.68,   4.62,                       70,                   4.49
rengginang      ,        12.0,    0.08,          2.15,      0.96,   0.04,                       70,                   1.5
risol           ,        96.0,    3.75,          8.66,      6.33,   0.64,                       70,                   6.06
sale pisang     ,       276.0,    0.9 ,         66.51,      2.87,  30.96,                       70,                  46.56
sawut           ,        45.0,    0.5 ,         10.0 ,      1.0 ,  15.0 ,                       70,                   7.0
serabi          ,       108.0,    1.8 ,         21.05,      1.59,   1.45,                       70,                  14.74
sosis solo      ,        70.0,    3.58,          5.57,      3.83,   0.83,                       70,                   3.9
tahu isi        ,       134.0,    6.64,          8.65,     10.25,   1.68,                       70,                   6.06
tape ketan      ,       172.0,    0.28,         37.94,      3.25,   2.49,                       70,                  26.56
tape singkong   ,       175.0,    0.5 ,         39.9 ,      2.27,   0.85,                       70,                  27.93
tempe mendoan   ,       200.0,   12.78,         12.69,     11.18,   0.15,                       70,                   8.88
tiwul           ,       147.0,    0.26,         35.08,      1.25,   1.57,                       70,                  24.56
wingko babat    ,       294.0,   13.71,         40.57,      3.42,  22.6 ,                       70,                  28.4
